joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.210852,0.622546,1.62957,1.41526,-0.0410483,0.518138,-0.0236985
0.212826,0.622583,1.62805,1.41468,-0.0413881,0.517564,-0.0234497
0.214792,0.622624,1.62653,1.4141,-0.0417281,0.516995,-0.0232008
0.216749,0.622667,1.62502,1.41353,-0.0420682,0.516432,-0.0229519
0.218698,0.622713,1.62352,1.41295,-0.0424083,0.515874,-0.0227031
0.220639,0.622761,1.62203,1.41237,-0.0427483,0.51532,-0.0224544
0.222575,0.622811,1.62054,1.41179,-0.0430881,0.51477,-0.0222058
0.224145,0.622852,1.61933,1.41133,-0.0433642,0.514323,-0.0220039
0.224145,0.622852,1.61933,1.41133,-0.0433642,0.514323,-0.0220039
0.226077,0.622903,1.61785,1.41075,-0.0437039,0.513775,-0.0217554
0.228005,0.622955,1.61636,1.41017,-0.0440437,0.513229,-0.0215068
0.229927,0.623009,1.61489,1.40959,-0.0443835,0.512687,-0.0212583
0.23184,0.623066,1.61341,1.40901,-0.0447233,0.512151,-0.0210098
0.233743,0.623126,1.61195,1.40843,-0.045063,0.51162,-0.0207615
0.235639,0.623188,1.6105,1.40785,-0.0454026,0.511094,-0.0205133
0.237527,0.623253,1.60904,1.40728,-0.0457418,0.510571,-0.0202654
0.23941,0.623318,1.6076,1.4067,-0.0460809,0.510052,-0.0200176
0.240498,0.623356,1.60676,1.40636,-0.0462769,0.509752,-0.0198745
0.240498,0.623356,1.60676,1.40636,-0.0462769,0.509752,-0.0198745
0.242378,0.623422,1.60532,1.40578,-0.0466158,0.509234,-0.0196268
0.244254,0.62349,1.60388,1.4052,-0.0469548,0.508718,-0.0193792
0.246123,0.623559,1.60244,1.40463,-0.0472936,0.508207,-0.0191317
0.247984,0.623631,1.60101,1.40405,-0.0476323,0.5077,-0.0188844
0.249835,0.623706,1.59959,1.40347,-0.0479707,0.507199,-0.0186373
0.251678,0.623783,1.59818,1.40289,-0.0483088,0.506702,-0.0183905
0.253514,0.623861,1.59677,1.40231,-0.0486465,0.506209,-0.018144
0.255346,0.62394,1.59537,1.40173,-0.0489839,0.505718,-0.0178978
0.255982,0.623968,1.59488,1.40153,-0.0491011,0.505548,-0.0178123
0.255982,0.623968,1.59488,1.40153,-0.0491011,0.505548,-0.0178123
0.257811,0.624048,1.59348,1.40095,-0.0494384,0.505058,-0.0175661
0.259636,0.624129,1.59208,1.40037,-0.0497757,0.504571,-0.0173201
0.261454,0.624212,1.59069,1.39979,-0.0501127,0.504088,-0.0170742
0.263263,0.624297,1.5893,1.39921,-0.0504494,0.503609,-0.0168287
0.265063,0.624384,1.58792,1.39863,-0.0507857,0.503136,-0.0165835
0.266855,0.624473,1.58655,1.39806,-0.0511215,0.502666,-0.0163387
0.26864,0.624564,1.58518,1.39748,-0.0514568,0.5022,-0.0160943
0.270421,0.624656,1.58382,1.3969,-0.0517919,0.501736,-0.0158501
0.270635,0.624667,1.58366,1.39683,-0.0518323,0.50168,-0.0158207
0.270635,0.624667,1.58366,1.39683,-0.0518323,0.50168,-0.0158207
0.272414,0.624758,1.58229,1.39625,-0.0521672,0.501217,-0.0155766
0.274189,0.624851,1.58093,1.39568,-0.0525021,0.500756,-0.0153327
0.275957,0.624946,1.57958,1.3951,-0.0528365,0.500299,-0.0150891
0.277716,0.625043,1.57824,1.39452,-0.0531705,0.499846,-0.0148458
0.279465,0.625142,1.5769,1.39395,-0.053504,0.499398,-0.0146031
0.281207,0.625242,1.57557,1.39337,-0.0538368,0.498954,-0.0143608
0.282942,0.625344,1.57424,1.39279,-0.0541692,0.498513,-0.014119
0.284496,0.625435,1.57305,1.39228,-0.0544673,0.498119,-0.013902
0.284496,0.625435,1.57305,1.39228,-0.0544673,0.498119,-0.013902
0.286227,0.625538,1.57173,1.3917,-0.0547993,0.49768,-0.0136605
0.287953,0.625641,1.57041,1.39113,-0.0551311,0.497244,-0.0134192
0.289671,0.625746,1.5691,1.39055,-0.0554623,0.496811,-0.0131782
0.29138,0.625853,1.5678,1.38998,-0.055793,0.496383,-0.0129378
0.29308,0.625961,1.5665,1.3894,-0.056123,0.495959,-0.012698
0.294772,0.626071,1.56521,1.38883,-0.0564523,0.495539,-0.0124587
0.296459,0.626182,1.56392,1.38826,-0.0567811,0.495121,-0.0122198
0.297603,0.626258,1.56305,1.38787,-0.0570044,0.494838,-0.0120576
0.297603,0.626258,1.56305,1.38787,-0.0570044,0.494838,-0.0120576
0.299286,0.62637,1.56177,1.3873,-0.0573328,0.494422,-0.011819
0.300963,0.626482,1.56049,1.38673,-0.0576609,0.494009,-0.0115807
0.302633,0.626596,1.55921,1.38615,-0.0579885,0.493599,-0.0113429
0.304294,0.626712,1.55795,1.38558,-0.0583153,0.493193,-0.0111057
0.305946,0.626829,1.55669,1.38501,-0.0586413,0.492792,-0.0108691
0.30759,0.626947,1.55544,1.38444,-0.0589665,0.492394,-0.0106332
0.309229,0.627066,1.55419,1.38388,-0.0592912,0.491998,-0.0103977
0.309992,0.627122,1.55361,1.38361,-0.0594426,0.491814,-0.0102879
0.309992,0.627122,1.55361,1.38361,-0.0594426,0.491814,-0.0102879
0.311628,0.627241,1.55236,1.38304,-0.059767,0.491419,-0.0100526
0.313259,0.627362,1.55112,1.38248,-0.060091,0.491027,-0.00981772
0.314882,0.627484,1.54988,1.38191,-0.0604143,0.490638,-0.00958336
0.316495,0.627607,1.54866,1.38134,-0.0607367,0.490254,-0.0093497
0.3181,0.627731,1.54744,1.38078,-0.0610583,0.489873,-0.00911678
0.319697,0.627857,1.54622,1.38021,-0.061379,0.489496,-0.00888451
0.321289,0.627983,1.54501,1.37965,-0.0616992,0.489121,-0.0086527
0.3217,0.628015,1.5447,1.3795,-0.0617819,0.489024,-0.00859282
